mrna_assignment	3107	888	375	624	1938	1866	1290	2523	1182	1858	2224	control_mean	case_mean	logFC(case_mean/control_mean)	F_value	P_value	261
BC036780	93.7129	97.2793	105.6338	96.0681	95.1989	72.1765	70.7125	78.2386	71.659	77.1367	80.9307	97.5786	75.14233333	-0.376938869	70.41	1.51E-05	81.1135
BC146847	37.375	39.0635	39.459	40.9336	36.4584	27.5755	29.0785	25.1764	26.2936	27.882	24.0155	38.6579	26.67025	-0.53553192	117.7	1.81E-06	35.9067
ENST00000355522	181.632	183.6634	193.7214	200.3361	203.9049	138.1786	132.0015	123.164	129.5811	139.0059	116.1223	192.65156	129.6755667	-0.571087194	124.8	1.41E-06	180.6286
ENST00000166244	127.6173	117.8934	110.9012	107.5575	122.1804	93.06	91.4324	93.7551	96.552	90.53	96.1875	117.22996	93.58616667	-0.32497412	46.31	7.86E-05	106.2833
ENST00000365305	40.5244	43.34	39.3872	44.3019	40.2707	28.2804	31.5025	30.0749	32.5767	29.5296	29.3145	41.56484	30.2131	-0.460189439	104	3.04E-06	43.3356
BC041812	112.3004	106.9457	97.2669	96.4695	114.9746	76.3394	73.1743	73.598	77.423	76.0881	78.183	105.59142	75.80096667	-0.478204459	70.77	1.48E-05	110.6875
BC039863	42.9032	40.7106	41.0518	41.9619	37.1643	32.4355	34.2403	30.6578	31.7806	32.4787	35.0725	40.75836	32.77756667	-0.314387247	48.62	6.52E-05	33.8049
BC127790	132.6179	141.6917	137.2787	148.2839	142.7082	104.4444	115.0465	119.1802	111.9754	107.5559	119.0284	140.51608	112.8718	-0.316050148	58.27	3.21E-05	140.0567
AK124106	53.6086	54.6814	60.4733	52.688	55.5331	43.5013	42.7309	44.7372	45.4766	43.7514	40.069	55.39688	43.37773333	-0.352850057	64.93	2.09E-05	52.498
BC018778	1520.4839	1576.3112	1367.1191	1258.9926	1598.2487	2005.8819	1943.4213	2164.262	2279.0508	1973.9344	2153.7735	1464.2311	2086.72065	0.511094207	55.13	4.00E-05	1762.114
BC028091	52.2669	53.9714	48.8125	55.4833	54.4787	36.4142	37.7515	42.3856	44.4968	39.4582	45.6277	53.00256	41.02233333	-0.369652489	36.36	0.000195	64.2507
BC126317	161.9298	142.6764	166.8805	145.2826	153.5688	130.2777	116.3759	120.6677	108.9379	116.0617	107.2733	154.06762	116.5990333	-0.402007858	44.02	9.54E-05	144.4449
AB094096	72.3012	81.5164	67.7067	69.5018	76.7937	54.7781	49.2531	53.3681	54.5444	55.6474	47.662	73.56396	52.54218333	-0.485522992	60.25	2.82E-05	74.4351
AF076483	142.3502	129.5773	136.6695	126.2711	126.4168	102.447	100.2237	101.0072	96.1631	91.0643	104.6295	132.25698	99.2558	-0.414120551	84.01	7.35E-06	143.886
AF014838	127.529	147.2374	132.8593	139.5219	128.2017	99.3815	101.7311	99.0226	91.243	97.7786	92.2668	135.06986	96.90393333	-0.479078651	97.95	3.90E-06	118.3791
hsa-mir-149	191.395	199.7413	210.6841	210.2645	220.3749	163.8399	157.3558	155.814	155.3745	153.2699	165.7177	206.49196	158.5619667	-0.381038848	90.33	5.46E-06	242.7717
ENST00000308059	90.7405	88.8678	102.9274	96.8049	94.9436	76.4876	76.7822	78.3394	74.3772	75.3563	68.6021	94.85684	74.9908	-0.339038194	53.9	4.37E-05	93.4525
BC028138	26.0495	25.5961	24.364	24.2491	26.0378	19.7537	20.4874	20.6196	22.3577	23.0653	21.7534	25.2593	21.33951667	-0.243287159	33.94	0.000251	24.4234
AK127619	178.2949	166.8385	144.3729	156.8475	149.8757	125.9128	118.9608	125.2579	113.8012	116.8061	121.4665	159.2459	120.36755	-0.403809722	43.7	9.80E-05	159.2213
ENST00000384380	13.7634	13.5335	14.4312	14.2408	13.6575	12.7631	12.5482	12.1473	12.6437	12.2442	12.4886	13.92528	12.47251667	-0.158953739	58.57	3.15E-05	14.0818
ENST00000463010	93.1424	105.8641	106.2122	91.5861	113.7215	67.5786	61.4358	68.4915	61.0315	56.7089	58.5048	102.10526	62.29185	-0.712941865	82.58	7.89E-06	110.9691
AK022609	119.8979	111.14	94.6474	113.095	106.135	74.1272	83.1421	74.1033	74.3911	76.3122	80.3886	108.98306	77.07741667	-0.49972378	58.46	3.17E-05	86.3441
ENST00000412510	111.1415	117.4912	108.9274	108.475	118.0107	79.4345	69.0903	75.9135	89.6397	78.6662	89.7955	112.80916	80.42328333	-0.488199077	62.6	2.42E-05	142.2628
AB208926	346.254	419.7186	299.4162	350.1634	365.5586	579.2457	522.0393	516.6187	593.0443	488.7146	564.5035	356.22216	544.0276833	0.610902799	54.66	4.13E-05	393.4057
AF469635	135.3319	144.7262	129.3623	137.5955	141.9654	111.952	96.8936	95.5558	97.8624	93.7948	104.5855	137.79626	100.10735	-0.460988829	92.01	5.05E-06	131.7231
TCONS_l2_00005291-XLOC_l2_002207	67.9314	68.2683	67.7712	67.1077	68.3288	53.7074	55.8227	57.5931	53.7367	60.4794	50.2598	67.88148	55.26651667	-0.296612335	61.32	2.62E-05	68.0581
AK302373	65.384	68.9625	69.1109	74.7995	70.9795	49.9937	53.9617	48.546	54.678	42.6337	54.0016	69.84728	50.63578333	-0.464046665	58.6	3.14E-05	62.0313
AF335480	40.5064	39.0947	43.0227	36.1393	37.5191	29.5416	28.8554	31.1957	33.0863	31.9753	29.8603	39.25644	30.75243333	-0.352228776	42.77	0.000106	39.0343
AB032970	78.8093	78.196	78.2608	86.7588	77.5966	66.0422	69.4578	65.3185	63.14	68.4637	68.2704	79.9243	66.7821	-0.259172743	48.57	6.54E-05	91.2157
U90544	55.0706	58.9759	54.6667	58.2652	57.6782	49.1613	44.6984	47.1179	44.2962	46.096	46.3243	56.93132	46.28235	-0.298760431	91.01	5.29E-06	62.7011
BC112200	69.1315	66.2309	67.3204	58.837	67.6641	51.1839	52.1276	51.4706	50.0545	44.0722	51.2529	65.83678	50.02695	-0.396188279	55.6	3.87E-05	68.3538
U73531	37.4962	35.4759	37.441	38.828	37.8367	29.6359	31.0614	28.9371	32.6882	30.2972	28.8868	37.41556	30.2511	-0.306650765	76.33	1.09E-05	38.5786
GENSCAN00000025765	133.7188	140.7871	140.1376	140.2732	148.3004	113.3168	99.2527	110.2859	104.1682	117.6006	113.4101	140.64342	109.6723833	-0.358841772	70	1.54E-05	140.0051
BC063450	83.0335	80.938	69.6478	75.4539	68.211	58.0407	58.4469	56.9747	62.5345	58.8522	59.2875	75.45684	59.02275	-0.354380543	34.6	0.000234	72.6805
ENST00000342310	109.1837	113.4811	120.5082	102.0099	112.6709	90.0629	75.0623	71.463	80.0766	73.4648	72.0662	111.57076	77.03263333	-0.534417332	67.59	1.78E-05	114.3814
BC004878	141.8129	163.0155	97.5712	158.1851	104.1514	404.4708	270.1877	293.0832	346.5228	268.1737	282.8281	132.94722	310.8777167	1.2254936	42.43	0.00011	253.0322
ENST00000302092	41.9539	42.8016	45.4343	48.2111	46.9307	34.5166	34.5551	32.3677	29.5989	29.9425	31.4972	45.06632	32.07966667	-0.490390497	80.34	8.83E-06	55.6284
AK293484	101.2518	95.1439	98.18	102.2703	90.8345	67.8094	72.0038	83.8393	66.357	77.6698	71.231	97.5361	73.15171667	-0.415044566	48.39	6.64E-05	120.0928
TCONS_00009285-XLOC_004860	196.1636	193.0458	191.249	197.3419	197.9556	170.9718	168.9155	157.0381	176.3532	173.2725	162.1284	195.15118	168.11325	-0.21515875	60.8	2.72E-05	233.3568
ENST00000480997	119.19	136.2475	126.2299	122.7445	122.9233	88.5991	95.7357	88.4637	105.6165	88.2577	100.1876	125.46704	94.47671667	-0.409277687	53.85	4.38E-05	132.5426
