A	B	C	D	E	F
2	52	18	31	38	45
6	37	9	50	43	43
7	29	41	2	38	40
65	52	6	23	33	41
69	52	23	9	36	30
30	33	17	20	46	22
69	13	31	50	44	39
30	30	30	24	35	33
67	17	37	45	40	37
50	55	38	27	47	43
24	30	7	18	47	27
8	28	6	9	43	36
19	55	16	36	34	27
69	18	5	25	31	21
17	57	9	26	30	40
20	33	29	48	44	41
50	50	27	50	32	28
33	60	18	24	33	30
42	18	6	28	39	39
8	26	28	41	32	41
44	41	9	33	35	40
59	45	7	42	42	39
17	54	13	38	46	32
67	15	31	38	37	27
13	36	6	41	37	28
29	25	40	18	49	35
14	32	34	20	41	29
21	39	14	8	45	33
12	16	24	17	37	31
66	53	12	12	32	27
40	55	5	23	49	23
53	37	8	42	37	37
66	14	6	42	48	37
42	32	25	6	31	40
52	33	31	27	50	35
51	17	39	5	38	40
63	19	13	41	40	41
18	58	7	23	31	36
8	54	40	39	35	30
50	30	45	43	44	20
63	12	19	24	44	39
27	11	45	32	47	44
55	23	45	33	33	43
41	21	33	29	49	29
35	60	40	11	39	27
14	21	25	29	32	29
28	28	43	9	40	41
37	50	31	5	48	22
44	19	23	30	39	39
45	50	18	48	46	41
5	32	5	20	37	43
57	44	10	2	48	30
5	51	23	47		24
61	25	25	13		33
4	10	43	0		34
7	26	22	47		35
10	29	45	25		38
3	10	13	1		38
26	48	5	15		22
1	30	42	1		26
69	51	21	47		
61	56	34	44		
26	60	38	1		
23	25	26	7		
57	21	15	40		
1	18	23	10		
23	48	40	45		
56	58	12	43		
54	12	39	5		
47	32	6	23		
29	48	8	3		
46	51	11	45		
51	48	34	4		
8	43	23	43		
50	19	41	8		
56	16	32	1		
68	55	11	44		
49	36	35	36		
30	52	33	19		
25	46	30	25		
21	11	43	1		
1	33	7	18		
61	41	17	48		
61	22	22	35		
31	57	37	8		
9	27	20	17		
38	41	7	31		
46	50	7	19		
23	57	34	6		
32	21	8	41		
24	45	38	45		
31	11	37	42		
55	31	10	39		
54	23	21	31		
37	47	8	0		
10	17	35	47		
68	23	21	2		
68	20	40	24		
7	44		46		
62	23		20		
30	39		19		
16	12		39		
31	30		17		
54	42		35		
5	58		3		
27	51		9		
66	11		42		
63	16		28		
23			40		
48			27		
24			22		
2			25		
18			1		
13			49		
67			26		
6			49		
22			21		
10			25		
70			7		
6			13		
3			0		
51			42		
48			40		
22			50		
18			16		
62			35		
59			47		
14			45		
4			45		
21			32		
70			41		
42			29		
4			48		
45			45		
14			26		
56			49		
66			2		
43			11		
29			4		
34			35		
61			35		
			30		
			41		
			43		
			22		
			15		
			35		
			28		
			5		
			32		
			46		
			42		
			30		
			9		
			26		
			35		
