id	sample1	sample2	sample3	sample4	sample5	sample6
ENSG00000000001	8.3	16.93	143.775	1	2.5	25.5
ENSG00000000002	1.5	3.3	3.8	5.6	2.9	7.8
ENSG00000000004	13.19	0	9.04	3.5	0	1.5
ENSG00000000005	9.085	3.375	16.39	2	1	1
ENSG00000000006	0.5	6.3	3.1	5.4	10.8	7.2
ENSG00000000007	8.305	12.975	234.825	1	1.5	58.5
ENSG00000000009	26.055	6.2	6.92	4.5	0.5	1
ENSG00000000010	23.115	16.475	26.345	4.5	5	3.5
ENSG00000000011	4.75	0	2.475	1	0	0.5
ENSG00000000012	12.03	14.985	3.99	3	2	1
ENSG00000000013	35.985	48.16	38.625	7	9.5	7.5
ENSG00000000015	13.665	54.515	0	0.5	11	0
ENSG00000000017	19.555	55.3	20.265	7.5	16	5.5
ENSG00000000018	14.81	32.885	9.905	3	5.5	2.5
ENSG00000000019	6.41	30.255	17.175	1.5	4	2
ENSG00000000020	5.3	0	9.245	0.5	0	0.5
ENSG00000000021	56.075	81.78	25.615	4.5	6.5	2
ENSG00000000022	15.21	10.43	49.87	1.5	1	7.5
ENSG00000000024	0.75	0.78	0	0.5	0.5	0
ENSG00000000026	1.3	0	5.9	0	10.9	0
ENSG00000000028	44.11	35.04	72.58	3.5	4	4.5
ENSG00000000030	5.035	10.73	8.115	0.5	1	1.5
ENSG00000000033	0	5.78	8.265	0	1.5	2
ENSG00000000034	0	4.68	0	0	1.5	0
ENSG00000000036	9.855	0	44.95	1.5	0	7.5
ENSG00000000037	3.725	8.5	23	1	4.5	3
ENSG00000000038	0	5.51	0	0	1	0
ENSG00000000039	9.095	12.12	49.07	2	3.5	3.5
ENSG00000000041	9.58	21.28	24.675	1	1.5	2.5
ENSG00000000043	9.8	3.2	0	7.5	0	1.9
ENSG00000000044	10.89	4.93	14.82	2	2	8
ENSG00000000046	2.34	7.34	6.33	2	1.78	4.415
ENSG00000000047	31.335	116.32	91.495	5.5	19	15.5
ENSG00000004866	26.34	23.115	3.715	3.5	2.5	0.5
