ID	sample-1_rpkm	sample-2_rpkm	sample-3_rpkm	sample-4_rpkm	sample-5_rpkm	group
Unigene0000001	5.068122314	4.926763973	2.676197999	3.70488634	5.074641263	group1
Unigene0000002	4.282392188	3.274022408	4.782070137	2.48994623	7.00377947	group1
Unigene0000003	4.697520237	4.950613806	3.233073977	4.671410606	2.95433781	group1
Unigene0000004	3.496750281	3.600983828	2.658702567	3.295346542	3.28959231	group1
Unigene0000005	4.481355626	4.125430388	4.955895586	2.765673395	3.952042533	group1
Unigene0000006	5.924376473	4.825233007	3.217377635	5.119144436	4.906796009	group1
Unigene0000007	4.559261826	4.79592541	3.910368443	4.465106671	4.71914547	group1
Unigene0000008	3.408289567	4.471836347	4.033467102	3.482534443	3.969260928	group1
Unigene0000009	4.584628838	3.398180533	2.568306351	3.817690271	4.657896352	group1
Unigene0000010	6.222161691	2.963251117	4.385449856	3.26212271	3.765263686	group1
Unigene0000011	5.014646695	4.047600205	5.485469988	5.20065495	6.795750608	group1
Unigene0000012	5.087374782	4.337780128	4.780279609	4.093216023	3.508508474	group1
Unigene0000013	3.351865957	3.471067313	6.09791945	4.399425826	4.873047161	group1
Unigene0000014	5.517276168	1.670482077	4.144913279	4.408645866	4.318454022	group1
Unigene0000015	4.405821697	3.640623303	3.910259177	2.477176511	3.815849127	group1
Unigene0000016	4.201444756	4.86279938	5.140479526	4.649334094	3.343755962	group1
Unigene0000017	3.83584495	2.75720176	4.600831183	4.618728842	2.751067096	group1
Unigene0000018	2.532409462	3.627249424	4.140478399	3.830457988	3.17336154	group1
Unigene0000019	5.959014886	4.653285888	3.658446994	5.433758425	4.775005672	group1
Unigene0000020	4.709317666	5.007614923	4.016021467	2.415801264	3.833209496	group1
Unigene0000021	4.178760544	4.651228044	4.227472211	4.651765268	4.064079411	group1
Unigene0000022	3.947705767	3.46959913	4.540063178	3.244911608	4.616878414	group1
Unigene0000023	4.223889915	4.376771839	4.337658236	6.006544261	3.584578504	group1
Unigene0000024	5.195981115	4.521321786	2.922639141	3.679891301	5.13748896	group1
Unigene0000025	2.307573685	2.376318332	2.42630729	4.290520269	5.30767742	group1
Unigene0000026	4.375733814	3.485652048	4.075195182	5.067506793	6.658266366	group1
Unigene0000027	3.341823282	4.156760516	3.845269588	3.53755191	4.504267413	group1
Unigene0000028	4.394730085	0.973253727	6.896354647	4.834780042	4.898915675	group1
Unigene0000029	3.160562504	3.892495923	3.929017171	4.683742101	3.513059934	group1
Unigene0000030	4.759314884	2.381139003	5.176939989	3.825454459	3.850926666	group1
Unigene0000031	4.608829204	2.84280979	4.701513243	1.971040976	3.257365341	group1
Unigene0000032	2.658902105	4.57278409	5.467306261	4.421985106	5.063913758	group1
Unigene0000033	3.810574427	3.010765903	2.498594538	2.946805107	3.400204706	group1
Unigene0000034	4.03405017	2.835511582	5.552021428	4.282558402	6.634459766	group1
Unigene0000035	4.039947933	3.566829942	5.196162055	4.917097367	3.055579721	group1
Unigene0000036	3.187311845	4.423260894	3.264628571	4.489840373	3.390832348	group1
Unigene0000037	5.992205217	4.877033447	3.122135509	5.768532505	5.423706667	group1
Unigene0000038	2.244404577	4.248251828	3.15902328	3.404911498	4.207611362	group1
Unigene0000039	6.302706738	2.506337915	3.263437122	5.331835899	1.81682969	group1
Unigene0000040	1.647050939	4.029221853	3.711608883	3.961626786	4.198515213	group1
Unigene0000041	2.505474712	4.476451037	4.155840853	3.862100693	3.06081511	group1
Unigene0000042	3.843044733	3.692190005	3.123621415	2.679538017	3.70855469	group1
Unigene0000043	5.423432949	5.041318544	3.452519866	2.366311726	3.976349423	group1
Unigene0000044	2.970441212	3.622165317	4.341397561	4.450876857	4.682199772	group1
Unigene0000045	2.392561106	4.375428952	4.035364686	5.256416203	3.424903505	group1
Unigene0000046	3.385411749	3.987092789	4.252834056	2.836408946	2.256346265	group1
Unigene0000047	4.262435397	5.320845629	4.439320139	3.880428319	6.586060941	group1
Unigene0000048	6.144524929	3.921022958	4.105166982	4.342842712	3.075944393	group1
Unigene0000049	5.245639544	3.765239962	2.992133914	5.335042314	5.267952468	group1
Unigene0000050	4.646963252	4.24726294	3.978636023	3.521346625	4.951879068	group1
Unigene0000051	3.717524588	4.234779307	5.750954396	3.717740029	3.094985874	group1
Unigene0000052	5.817980923	3.400744687	3.862585944	4.209482833	3.799754623	group1
Unigene0000053	5.293454763	4.820479376	3.512523663	3.974322559	4.671825371	group1
Unigene0000054	5.290380307	4.596623067	3.96532661	4.219443498	3.858465532	group1
Unigene0000055	3.687096984	3.478515739	3.033162975	4.392879507	3.705129028	group1
Unigene0000056	4.858003914	3.463491259	3.503768674	5.386686635	3.843071607	group1
Unigene0000057	3.361253385	5.570628196	5.520439909	4.6349928	3.638424196	group1
Unigene0000058	4.231678616	3.69691434	3.036907087	5.682878343	4.46995769	group1
Unigene0000059	4.453685112	4.777602152	3.887119388	4.577338817	4.183051634	group1
Unigene0000060	3.815715404	5.193473316	6.235933972	2.368237124	4.154227501	group1
Unigene0000061	4.637687427	3.370463838	4.079994027	1.813146273	6.070927956	group1
Unigene0000062	4.947659856	4.530320293	3.319856905	6.361947839	5.032748231	group1
Unigene0000063	3.039741217	5.139399307	4.054120948	4.016756581	5.61153984	group1
Unigene0000064	3.729920206	5.639811416	3.571175383	3.406460296	4.544806358	group1
Unigene0000065	4.248292295	4.264526681	2.526797464	3.330762393	4.207674236	group1
Unigene0000066	5.095387032	3.416649063	1.815467562	5.579203398	4.386540571	group1
Unigene0000067	5.320975414	3.405723669	2.027747633	4.260382333	4.94253517	group1
Unigene0000068	1.779083795	2.697676894	4.259388892	4.438789924	3.453474086	group1
Unigene0000069	4.594043848	3.198130395	4.875313898	4.668579964	4.388510482	group1
Unigene0000070	3.965825592	5.193966125	4.270748172	3.395743481	4.446835268	group1
Unigene0000071	3.986397826	2.932360713	2.837546315	1.770376148	3.761347095	group1
Unigene0000072	4.609502701	6.743101407	2.558733784	5.222510905	4.254289699	group1
Unigene0000073	2.313425632	2.627263972	2.687594302	4.858065884	3.67689356	group1
Unigene0000074	4.468073328	3.919430815	2.299444739	5.116641443	3.825381424	group1
