GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0000003	17243	17525	931.5677	942.4515	a0.016757759	0.514948488	0.67330422	no
Unigene0000004	65	101	4.1156	6.3657	0.629216396	0.0066439	0.017882537	no
Unigene0000005	909	984	36.8859	39.7458	0.107732979	0.125972956	0.224650049	no
Unigene0000006	1376	1082	74.7026	58.4714	0.353427322	1.17E-08	6.86E-08	no
Unigene0000007	121	73	15.68	9.4163	0.735693369	0.000741929	0.002446086	no
Unigene0000008	221	308	13.1401	18.2287	0.472235423	0.000303782	0.00107215	no
Unigene0000009	159	95	9.6921	5.7643	0.749663868	7.89E-05	0.000305459	no
Unigene0000010	76	25	6.8477	2.2422	1.610704529	3.97E-07	2.05E-06	yes
Unigene0000011	120	156	7.2042	9.3224	0.371863183	0.036209354	0.078744233	no
Unigene0000012	104	138	5.3683	7.0905	0.401422069	0.034756889	0.076310438	no
Unigene0000014	160	187	8.7547	10.1851	0.218330498	0.166323409	0.28450401	no
Unigene0000015	85	197	7.3834	17.0334	1.206009212	2.87E-11	2.06E-10	yes
Unigene0000017	111	220	9.1284	18.0091	0.980292169	2.83E-09	1.75E-08	no
Unigene0000018	93	134	10.0391	14.3984	0.520278565	0.008146536	0.021339824	no
Unigene0000019	25	27	4.5124	4.851	0.104387219	0.890026841	1	no
Unigene0000020	79	169	9.3842	19.9828	1.090453082	1.36E-08	7.93E-08	yes
Unigene0000021	47	50	3.6646	3.8806	0.082623999	0.839598175	0.958089952	no
