fromNode	toNode	weight	direction	fromAltName	toAltName
TCONS_00044076	TCONS_00119997	0.022014764	undirected	NA	NA
TCONS_00044076	ENSOART00000009241	0.45341128	undirected	NA	NA
TCONS_00044076	ENSOART00000028100	0.77171853	undirected	NA	NA
TCONS_00044076	TCONS_00047972	0.77171853	undirected	NA	NA
TCONS_00044076	TCONS_00053485	0.017065193	undirected	NA	NA
TCONS_00044076	TCONS_00090005	0.248840284	undirected	NA	NA
TCONS_00044076	ENSOART00000007879	0.016748733	undirected	NA	NA
TCONS_00044076	TCONS_00073116	0.457695995	undirected	NA	NA
TCONS_00044076	TCONS_00043361	0.010117794	undirected	NA	NA
TCONS_00044076	ENSOART00000021947	0.771999103	undirected	NA	NA
TCONS_00044076	ENSOART00000000914	0.02488252	undirected	NA	NA
TCONS_00044076	TCONS_00077726	0.042668602	undirected	NA	NA
TCONS_00044076	TCONS_00118172	0.005692792	undirected	NA	NA
TCONS_00044076	ENSOART00000009859	0.048273876	undirected	NA	NA
TCONS_00044076	TCONS_00107487	0.678558964	undirected	NA	NA
TCONS_00044076	ENSOART00000012963	0.108772011	undirected	NA	NA
TCONS_00044076	ENSOART00000019075	0.005486875	undirected	NA	NA
TCONS_00044076	TCONS_00010940	0.164041933	undirected	NA	NA
TCONS_00044076	TCONS_00042804	0.010617012	undirected	NA	NA
TCONS_00044076	TCONS_00054841	0.749082857	undirected	NA	NA
TCONS_00044076	ENSOART00000009538	0.689626561	undirected	NA	NA
TCONS_00044076	ENSOART00000023030	0.109568596	undirected	NA	NA
TCONS_00044076	ENSOART00000006831	0.77171853	undirected	NA	NA
TCONS_00044076	TCONS_00043711	0.289415049	undirected	NA	NA
TCONS_00044076	ENSOART00000011250	0.064157145	undirected	NA	NA
TCONS_00044076	TCONS_00147855	0.275008079	undirected	NA	NA
TCONS_00044076	TCONS_00004921	0.005229272	undirected	NA	NA
TCONS_00044076	TCONS_00018430	0.171756744	undirected	NA	NA
TCONS_00044076	TCONS_00063562	0.357994711	undirected	NA	NA
