Genus	CK1	CK2	CK3	CK4	CK5	CA1	CA2	CA3	CA4	CA5
Acidobacterium	0.108471	0.057683	0.050887	0.054587	0.038836	0.820473	0.196881	0.851504	0.624529	0.978851
Edaphobacter	0.012052	0.024546	0.001272	0.0014	0.005011	0.050725	0.009844	0.054818	0.086142	0.107173
CandidatusKoribacter	0.391033	1.283751	0.620826	0.282731	0.467284	0.110326	0.047814	0.104763	0.163909	0.264361
CandidatusSolibacter	0.433886	0.369416	0.389288	0.564062	0.804279	0.367754	0.524547	0.489706	0.614958	0.370344
Rathayibacter	0.038835	0.003682	0.008905	0.0014	0	0.092573	0.085784	0.096236	0.043071	0.100029
Sinomonas	0.182125	0.288414	0.295147	0.062985	0.107738	0.007609	0.001406	0.009745	0.001196	0.001191
Catellatospora	0	0.024546	0.049615	0.16236	0.035078	0	0	0.001218	0.001196	0
Pilimelia	0.159359	0.204958	0.201005	0.270134	0.212971	0.003804	0.002813	0.003655	0.005982	0.002382
Virgisporangium	0.006696	0.014728	0.021627	0.135767	0.051364	0.001268	0.001406	0.008527	0.001196	0.002382
Mycobacterium	0.262474	0.241777	0.137396	0.207149	0.191674	0.836958	0.700333	0.633451	0.379264	0.915738
Nocardioides	0.392372	0.185322	0.077603	0.044789	0.199191	0.039312	0.043595	0.082836	0.022732	0.064304
Kitasatospora	0.068297	0.193913	0.111952	0.048988	0.026308	0.048188	0.094222	0.0134	0.022732	0.046442
Streptomyces	0.081688	0.128866	0.148845	0.106374	0.145322	0.050725	0.084378	0.032891	0.038285	0.030961
Conexibacter	0.01607	0.012273	0.016538	0.011197	0.015033	0.291667	0.165942	0.533561	0.275176	0.502525
Prevotella	0	0	0	0	0.006264	0	0.217975	0	0	0
Flavobacterium	0.037496	0.14973	0.016538	0.009798	0.003758	0.003804	0.405012	0.001218	0.094517	0.003572
Parachlamydia	0	0.020864	0.026716	0.011197	0.01378	0.093841	0.081565	0.157145	0.099302	0.059541
CandidatusRhabdochlamydia	0.460669	0.662739	0.680618	0.881785	0.518648	2.514678	1.73677	3.721525	2.0028	2.303039
Alicyclobacillus	1.285588	1.634757	0.576299	0.701229	0.448492	4.647653	5.141403	3.834815	2.821148	0.983614
Bacillus	3.523315	1.766078	2.031677	1.769168	2.653371	1.378445	1.739583	2.260933	1.890337	1.504001
