Otu_id	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3
Otu000001	2127	2781	2082	1964	3096	1280	1800	3534	2056
Otu000002	640	694	486	4267	3451	3534	2338	2036	2241
Otu000003	1868	1676	1973	1292	1670	1148	899	1039	1241
Otu000004	237	180	222	660	453	419	1252	1511	1522
Otu000005	15	1	3	598	748	1286	75	142	190
Otu000006	157	111	112	425	406	436	1067	1206	1213
Otu000007	821	735	520	603	759	521	816	1379	867
Otu000008	386	333	238	666	648	627	821	1118	1028
Otu000009	391	337	324	572	682	513	953	1117	795
Otu000010	548	594	915	549	890	459	475	726	513
