id	z13-9	z13-12	z13-15	z13-27	z14-8	gh6	lb3	yh2	yf3
suger20	0.770908333	0.837265	0.71284625	0.691865833	0.84312	1.158314167	0.7026	1.211985	0.8460475
suger5	0.706503333	0.48450125	0.593306667	0.68064375	0.724068333	0.767005	0.4830375	0.940703333	0.798231667
suger0	0.622581667	0.967050833	0.8226275	0.9104525	0.9338725	1.27639	0.628436667	1.024625	1.022673333
suger-5	0.8343375	1.0275525	0.919235	0.9748575	1.067561667	1.35396875	0.63234	1.2383325	1.114401667
suger-8	1.00706	1.21637625	1.0978125	1.085126667	1.27639	1.56767625	0.744560833	1.65550125	1.21344875
suger-10	1.10805875	1.26468	1.434475	1.2032025	1.755524167	1.60280625	1.099764167	2.265885	1.266631667
protein20	4.50675	5.399233333	5.361433333	4.835883333	5.448016667	4.494116667	3.807816667	5.050683333	5.6421
protein5	3.626433333	4.7272	2.713416667	4.416916667	4.695883333	3.77885	2.810916667	4.155166667	4.5221
protein0	4.094666667	4.8618	4.515883333	4.751516667	5.93455	4.18965	3.964833333	4.720633333	4.708116667
protein-5	4.271616667	5.10945	6.216666667	5.270183333	6.22675	4.864783333	5.5409	5.807166667	5.482766667
protein-8	5.48715	6.017816667	6.330466667	5.981983333	8.001933333	6.642833333	6.043216667	6.787183333	6.874025
protein-10	4.718775	5.498783333	5.769333333	5.234666667	5.968366667	5.1733	4.544916667	5.95505	6.289283333
POD20	639.6	873.025	673.275	753.8	1151.8	780.225	758.85	1132.25	627.3
POD5	1457.55	1397.45	1517.6	1672.15	1676.85	1810.15	1969.05	1476.55	1037.4
POD0	1769.025	1714.85	1629.95	1774.45	1639.85	2098.2	2406.6	1588.25	1690
POD-5	2932.5	2545.75	2131.95	2849.95	3100.05	2611.75	3292.65	2820.05	2825.9
POD-8	2239.2	2948.95	2881.275	2560.15	2865.975	2460	2891.25	2538	2280
POD-10	2063.55	2174.95	1888.75	2418.75	2798	2416.1	2771.85	2160.65	2177.7
SOD20	198.5507246	260.8695652	295.6521739	221	241	317	186	313.0434783	357.9710145
SOD5	134.2001963	206.7386326	231.681387	204.9506052	174.6810599	239.7775597	166.5848871	242.9669611	271.916912
SOD0	173.0950141	273.4399498	235.0266541	236.5945437	260.1128881	256.9771088	225.6193164	344.7789276	229.0322985
SOD-5	392.1920383	424.1414659	433.9654878	423.2017769	408.6793098	415.6842645	368.1018281	419.528447	410.0461302
SOD-8	398.4281565	409.1918674	441.3548608	451.7341534	393.1129335	414.6591492	403.212028	427.9002221	440.201606
SOD-10	425.7604265	415.0203826	421.605519	414.2364378	395.8921292	423.0166196	393.9322672	396.5976795	405.6914393
pro20	0.484856481	1.12537037	1.12325	2.006861454	1.362375	1.6764375	0.61624537	2.43475	0.813125
pro5	1.208	1.188763889	1.30675	2.8924375	1.654375	2.204208333	1.157481481	3.369296296	1.673
pro0	2.5861875	2.128125	1.846958333	4.0419375	2.3926875	2.836680556	1.257	4.091277778	2.168722222
pro-5	2.654618827	2.852944444	2.884299811	4.202875	3.5465625	3.32075	2.1171875	4.6935	3.0983125
pro-8	1.671259259	2.756263889	2.06549537	4.125541667	3.170200332	3.007365741	1.711685185	4.656256516	2.614791667
pro-10	1.314083333	2.6803125	1.585041667	2.664648148	1.7885	2.589625	1.126361111	4.1980625	1.7120625
DDL	-11.99437531	-12.57222582	-11.57299066	-13.140277	-12.48612325	-12.19468346	-10.29510012	-13.73022257	-12.04443763
