gene_id	C1	C2	C3	M1	M2	M3
AT1G01060	33.0358	35.5593	34.6492	10.2945	13.3938	13.659
AT1G01320	73.7404	76.3134	69.0405	17.2084	19.6695	17.6303
AT1G01420	6.6679	6.66516	7.94002	2.86371	3.83414	3.4326
AT1G01520	9.58862	8.55635	9.32078	0.982357	2.87684	2.18884
AT1G01970	17.2107	15.1322	18.3508	7.08041	7.74877	7.27222
AT1G02380	0.749953	1.95807	1.44847	0.934699	0.367559	0.703017
AT1G02620	0	0.373949	0.267622	0.957191	1.1798	0.731106
AT1G02710	0.781691	2.07701	2.52539	0.478761	1.33875	1.06115
AT1G02820	1.82602	0.764632	0.938192	0.318195	0.671864	0.619827
AT1G03055	2.12318	1.2677	1.92225	0.220155	0.187085	0.07791
AT1G03130	245.721	169.387	249.723	48.8518	71.802	44.8682
AT1G03320	1.47936	2.365	1.66682	0.638625	1.32451	0.606143
