id      	A1	A2	A3	B1	B2	B3	C1	C2	C3
Unigene0000001	0.2583	0.4179	0.3351	0.4295	0.6662	0.7292	0.2122	0.1777	0.4199
Unigene0000002	0.933	0.317	0.099	0.0997	0.9417	0.1581	0.1314	0.2407	0.1625
Unigene0000003	0.2327	0.0904	0.2636	0	0.1253	0.0631	0.2623	0.3363	0.3568
Unigene0000004	0.2003	0.5346	0.3898	0.1427	0	0.1018	0.1939	0.2842	0.314
Unigene0000005	4.3975	3.4847	3.1122	9.7206	2.8984	8.4525	5.2461	8.0574	8.9732
Unigene0000006	0.7334	0.7688	0.2907	0.4808	0.4737	0.2385	1.2396	0.6963	0.8176
Unigene0000007	0.9083	0.4408	0.2045	0.1177	1.1667	0.3637	0	0.0426	1.0068
Unigene0000008	6.0885	5.1771	4.9436	4.6118	7.7484	5.4086	2.7465	2.8371	3.8681
Unigene0000009	0.2229	0.2164	0.2367	0	0	0	0.0589	0	0
Unigene0000010	1.1864	0.741	0.8657	0.5177	1.8625	0.3863	1.9496	1.471	3.4282
Unigene0000011	0.2936	0	0	0.1494	0.5926	0.1989	0	0.1731	0.1169
Unigene0000012	5.8379	7.6257	6.6063	28.9282	15.3074	21.3386	26.9907	36.1395	15.1168
Unigene0000013	0.4042	0.1308	0.0763	0.1344	0.3263	0.073	0	0	0
Unigene0000014	17.6369	9.7233	9.8388	9.8584	17.7719	9.3459	10.0722	11.0114	11.3056
Unigene0000015	6.5697	5.0739	5.0455	3.6678	5.2484	4.1807	3.0171	3.4146	4.0764
Unigene0000016	0	0	0	0.1465	0.3228	0	0	0	0.1433
Unigene0000017	1.1147	0.1803	0.1315	0.0331	0.7188	0.2832	0.0327	0.0479	0.0971
Unigene0000018	4.8925	6.4349	5.8589	4.1192	3.9267	5.0237	3.3452	2.7168	2.2542
Unigene0000019	8.3018	7.712	8.7154	8.9537	9.1031	9.2722	9.4456	8.7268	7.8134
Unigene0000020	0.4609	0.4677	0.252	0	0.0705	0	0	0	0
Unigene0000021	10.443	11.7061	10.8967	14.7859	10.6206	14.6426	6.7191	7.8308	6.6327
Unigene0000022	11.2722	9.1759	10.2462	32.0589	13.8964	23.1205	83.8978	46.9704	49.6598
Unigene0000023	0.7087	1.1378	1.3504	5.1085	3.9248	4.6359	2.1885	1.6315	2.0322
Unigene0000024	3.223	3.799	7.6111	3.7966	0.9515	2.4513	1.6677	1.663	3.7122
