id	AS-VS-OS	AS-VS-QS	OS-VS-QS
ENSG00000169213	-7.798056839	-10.34374092	-11.80757447
ENSG00000163661	-8.319501587	-11.08702077	-9.801212906
ENSG00000104332	-11.27372276	11.25060406	-8.719228532
ENSG00000046604	6.734453314	-7.863640506	-7.010624416
ENSG00000122862	-8.839918042	13.40480156	9.116399862
ENSG00000106333	-6.699795723	-8.189385315	-8.249427635
ENSG00000184916	8.028569152	6.921029446	-9.775546973
ENSG00000154277	-10.53442707	12.07921809	-8.893267385
ENSG00000110427	-7.136222153	-10.33844573	8.858317092
ENSG00000163347	6.807243873	-7.148654762	-8.436371261
ENSG00000131746	8.40335171	-8.85436572	7.476059458
ENSG00000087116	-9.662668376	-7.733938479	-9.396194841
ENSG00000125726	5.914708196	-7.563132702	-7.41067082
ENSG00000197467	-5.908161133	12.22081801	-7.95811493
ENSG00000122863	6.493283632	-10.44102485	-8.042767789
ENSG00000114270	8.233289087	-9.984276034	7.565239465
ENSG00000151474	-5.69789991	-5.714047332	-6.851441856
ENSG00000066056	-10.58452043	-6.650795326	7.21720617
ENSG00000142552	-5.881947963	-9.355725956	-10.4655664
ENSG00000216490	6.333545743	-6.061046537	-8.63602035
ENSG00000182326	7.625708843	9.340499218	-10.02035691
ENSG00000158270	-13.09149048	-7.731555843	7.125795437
ENSG00000108821	-4.956226466	-11.38877074	-8.078021648
ENSG00000196611	-7.508627169	5.988725017	9.648414956
ENSG00000127399	9.23495664	-7.622524215	9.037248513
ENSG00000125841	-6.414685236	-7.59645601	-10.15076274
ENSG00000080823	-4.850706667	-6.520732481	-9.135281758
ENSG00000133401	6.819221104	8.47022308	-6.539211755
ENSG00000105963	7.113637997	-9.322913975	10.72636009
ENSG00000102554	5.71521793	-9.147922408	-10.13013104
ENSG00000110090	5.942201692	9.959221766	5.809972452
ENSG00000136167	6.707359132	-5.393892246	-5.839246812
ENSG00000265190	5.461216382	6.680736255	-10.3468159
ENSG00000163435	8.676876924	-6.192482505	-7.516934088
ENSG00000110811	-9.290550585	-7.935259109	-11.99484839
ENSG00000101213	7.241585987	-9.807064171	-10.55626654
ENSG00000197632	-6.389978985	-8.746793179	8.370872867
ENSG00000180921	8.83518913	-7.660962422	-8.098032083
ENSG00000132470	8.902869298	-6.150635137	11.18240913
ENSG00000166165	7.100662339	-8.780348124	-6.186823145
ENSG00000118640	6.963765117	-12.12581703	10.63087381
ENSG00000152465	-5.13709066	7.586464526	-6.87760859
ENSG00000076944	8.166897309	9.273873287	6.886797553
