ID	logFC
ENSG00000177606	4.5187
ENSG00000135842	2.1648
ENSG00000135919	3.4626
ENSG00000169908	1.9821
ENSG00000161011	1.7583
ENSG00000124762	2.5354
ENSG00000112715	2.0861
ENSG00000183696	3.3197
ENSG00000186480	2.8709
ENSG00000120875	4.2948
ENSG00000135047	2.7414
ENSG00000148841	2.2891
ENSG00000170421	-2.016
ENSG00000140105	1.6914
ENSG00000070915	-2.9477
ENSG00000169710	1.4693
ENSG00000141458	2.6241
ENSG00000101255	2.905
ENSG00000131069	2.9516
ENSG00000130513	5.3583
ENSG00000087074	2.9594
ENSG00000164171	3.5388
ENSG00000164754	-1.351
ENSG00000128272	1.596
ENSG00000092621	1.7901
ENSG00000101187	1.9341
ENSG00000116285	3.7016
ENSG00000104549	2.3225
ENSG00000114251	-1.8354
ENSG00000111371	1.1621
ENSG00000130066	2.7342
ENSG00000172893	1.757
ENSG00000163283	-1.7123
ENSG00000111057	-1.7882
ENSG00000123836	1.9429
ENSG00000173812	1.2355
ENSG00000067064	2.2713
ENSG00000176170	2.3853
ENSG00000204386	2.0192
ENSG00000106105	1.2719
ENSG00000125826	1.9896
ENSG00000104635	1.1417
ENSG00000160752	1.5916
ENSG00000052802	3.0082
ENSG00000099194	1.0866
ENSG00000095752	6.7543
ENSG00000169174	1.3516
ENSG00000176046	2.2359
ENSG00000104368	2.5121
ENSG00000004799	2.2352
ENSG00000006652	1.6654
ENSG00000095397	1.5461
ENSG00000162772	3.6941
ENSG00000145623	1.3947
ENSG00000073756	4.404
ENSG00000116133	1.2523
ENSG00000112096	2.0458
ENSG00000116016	1.7573
ENSG00000135318	2.833
ENSG00000175197	3.4604
ENSG00000165272	-1.5615
ENSG00000005884	1.3043
ENSG00000134324	1.6519
ENSG00000244405	2.5637
ENSG00000111799	-1.1699
ENSG00000093000	1.6312
ENSG00000132002	1.6196
ENSG00000146242	1.9126
ENSG00000160285	1.4909
ENSG00000115380	-1.5799
ENSG00000146112	1.7652
ENSG00000100219	1.4857
ENSG00000079459	1.3098
ENSG00000146376	-1.9208
ENSG00000144136	1.7177
ENSG00000113161	2.0344
ENSG00000198732	1.3627
ENSG00000168209	1.4265
ENSG00000158710	-1.1775
ENSG00000196352	1.1066
ENSG00000130766	2.4481
ENSG00000136999	2.3658
ENSG00000128965	3.4953
ENSG00000137331	3.6351
ENSG00000051108	1.5742
ENSG00000136002	1.8118
ENSG00000105281	1.1101
ENSG00000095794	1.8756
ENSG00000185950	2.1253
ENSG00000163295	-2.0881
ENSG00000113739	2.717
ENSG00000147010	1.4386
ENSG00000142627	1.5895
ENSG00000142798	-1.0594
ENSG00000102271	-2.6135
ENSG00000134294	1.1498
ENSG00000162734	1.6069
ENSG00000175592	3.643
ENSG00000121060	1.184
ENSG00000163814	3.0541
ENSG00000163395	7.0572
ENSG00000049130	-1.5514
ENSG00000106460	-1.7251
ENSG00000163430	-1.3228
ENSG00000117984	1.3047
ENSG00000135346	3.75
ENSG00000135480	-1.1254
ENSG00000204389	1.7054
ENSG00000010278	1.1211
ENSG00000100221	1.2862
ENSG00000198743	1.1978
ENSG00000088826	1.9065
ENSG00000101846	1.4009
ENSG00000197063	1.3371
ENSG00000167508	1.9726
ENSG00000198814	2.0594
ENSG00000105835	1.4092
ENSG00000063438	-1.5586
ENSG00000277443	-1.2764
ENSG00000130164	2.8559
ENSG00000130638	-1.1377
ENSG00000139289	4.0129
ENSG00000120137	1.1043
ENSG00000196139	-1.2125
ENSG00000242265	-1.0637
ENSG00000198380	1.0904
ENSG00000137699	-1.1564
ENSG00000260916	1.4061
ENSG00000168542	-1.0509
ENSG00000204388	1.8858
ENSG00000136205	-1.1642
ENSG00000185650	1.3879
ENSG00000187678	4.851
ENSG00000120437	1.3671
ENSG00000133302	-1.1206
ENSG00000006534	-1.3873
ENSG00000153395	1.257
ENSG00000204262	-1.738
ENSG00000138166	5.2366
ENSG00000158201	1.2702
ENSG00000106211	-1.0256
ENSG00000134070	1.9632
ENSG00000135069	1.0584
ENSG00000141682	2.1287
ENSG00000168159	1.0464
ENSG00000102287	-1.7551
ENSG00000137193	1.7443
ENSG00000172216	1.9757
ENSG00000164038	1.9369
ENSG00000185022	2.5214
ENSG00000213949	1.268
ENSG00000181649	2.0457
ENSG00000103249	1.1012
ENSG00000196950	-1.379
ENSG00000164949	4.8561
ENSG00000095383	1.4401
ENSG00000137936	1.9284
ENSG00000106665	1.885
ENSG00000006327	1.4012
ENSG00000130522	1.0218
ENSG00000175556	1.8013
ENSG00000141582	1.5616
ENSG00000156475	-2.0425
ENSG00000134107	2.6434
ENSG00000115902	1.3514
ENSG00000166900	1.5813
ENSG00000127948	1.0735
ENSG00000184185	2.8797
ENSG00000173905	-1.1192
ENSG00000198517	1.5922
ENSG00000110921	1.7402
ENSG00000171867	1.059
ENSG00000108932	1.4586
ENSG00000155304	1.1793
ENSG00000198355	1.1584
ENSG00000110721	1.2914
ENSG00000137868	-2.3541
ENSG00000146674	-1.7622
ENSG00000116584	1.087
ENSG00000067082	3.2325
ENSG00000128342	2.2977
ENSG00000164211	1.3799
ENSG00000075223	-1.1464
ENSG00000111331	1.1304
ENSG00000163993	1.486
ENSG00000171992	-1.4625
ENSG00000159399	1.1102
ENSG00000135116	3.6445
ENSG00000188522	1.3061
ENSG00000166123	1.5074
ENSG00000206075	-1.4769
ENSG00000125875	1.2384
ENSG00000127528	5.1943
ENSG00000161638	1.0989
ENSG00000129932	1.7274
ENSG00000173391	-1.4217
ENSG00000187720	1.9013
ENSG00000110619	1.1888
ENSG00000204174	-3.8385
ENSG00000196998	1.1018
ENSG00000167723	7.6981
ENSG00000187134	-1.2681
ENSG00000103888	4.5791
ENSG00000147852	1.6696
ENSG00000134278	1.1525
ENSG00000174705	1.0514
ENSG00000198947	1.3395
ENSG00000139269	2.6886
ENSG00000064205	-1.1245
ENSG00000181634	1.2836
ENSG00000133466	-1.1044
ENSG00000124766	-1.2936
ENSG00000128165	2.5331
ENSG00000133639	1.6345
ENSG00000113916	1.5552
ENSG00000177426	1.0405
ENSG00000124466	2.1123
ENSG00000188211	1.5782
ENSG00000135750	1.3205
ENSG00000124882	1.5831
ENSG00000157873	3.9978
ENSG00000107731	2.7955
ENSG00000123358	4.3022
ENSG00000143384	1.6148
ENSG00000136826	2.2348
ENSG00000164951	1.5324
ENSG00000153885	1.2438
ENSG00000122378	1.0013
ENSG00000065325	-1.1514
ENSG00000106070	1.5825
ENSG00000065833	1.0557
ENSG00000121966	2.1531
ENSG00000196954	1.5929
ENSG00000122912	1.1642
ENSG00000147324	1.3146
ENSG00000157514	1.0419
ENSG00000187840	1.0103
ENSG00000116514	1.8789
ENSG00000121690	-1.7885
ENSG00000184557	1.5449
ENSG00000109654	1.0661
ENSG00000154734	1.7243
ENSG00000118503	1.9029
ENSG00000133056	-1.1999
ENSG00000126368	1.898
ENSG00000001617	1.0849
ENSG00000001630	2.0153
ENSG00000175920	2.3911
ENSG00000130558	1.9306
ENSG00000009950	2.5295
ENSG00000165410	-1.0305
ENSG00000185630	-1.0421
ENSG00000182463	-1.5083
ENSG00000136261	-1.0831
ENSG00000141232	1.0919
ENSG00000178607	1.6985
ENSG00000008513	1.1726
ENSG00000115963	2.922
ENSG00000172183	2.7447
ENSG00000125148	2.2899
ENSG00000176845	1.6077
ENSG00000052795	1.741
ENSG00000162769	1.2019
ENSG00000096070	1.1605
ENSG00000176597	2.2224
ENSG00000196422	1.1669
ENSG00000151632	-1.4736
ENSG00000165521	1.7764
ENSG00000128016	2.8261
ENSG00000163565	1.7281
ENSG00000151012	1.0114
ENSG00000109929	1.5779
ENSG00000105974	-1.3677
ENSG00000170689	1.144
ENSG00000092929	-1.4361
ENSG00000101335	-1.5061
ENSG00000089127	1.3339
ENSG00000153234	3.9873
ENSG00000116717	1.7366
ENSG00000148158	1.3038
ENSG00000132510	1.1971
ENSG00000118515	1.8619
ENSG00000172379	3.8272
ENSG00000113163	1.2225
ENSG00000166173	1.7699
ENSG00000184363	-1.1404
ENSG00000185201	-1.2671
ENSG00000148339	1.4711
ENSG00000138660	1.3268
ENSG00000157224	1.145
ENSG00000159199	-1.0417
ENSG00000152684	1.1897
ENSG00000197971	1.6139
ENSG00000120833	3.3415
ENSG00000170485	1.5443
ENSG00000132600	-1.2126
ENSG00000175548	-1.0458
ENSG00000172840	1.3349
ENSG00000136379	1.5619
ENSG00000243927	1.2457
ENSG00000134321	4.2601
ENSG00000156510	3.3197
ENSG00000101384	2.6945
ENSG00000145911	1.4183
ENSG00000117479	1.3114
ENSG00000120129	2.9478
ENSG00000164284	1.1191
ENSG00000136235	1.3643
ENSG00000105971	-1.5203
ENSG00000225190	1.308
ENSG00000164463	1.8242
ENSG00000205336	1.321
ENSG00000114315	2.4284
ENSG00000180667	1.1209
ENSG00000181026	1.1579
ENSG00000135373	-1.4864
ENSG00000154803	1.1736
ENSG00000129353	-1.0637
ENSG00000110057	-1.8329
ENSG00000167996	1.1273
ENSG00000157827	1.0417
ENSG00000166886	1.7808
ENSG00000175832	1.3251
ENSG00000185291	2.3049
ENSG00000217128	1.0403
ENSG00000006459	1.7714
ENSG00000153879	1.245
ENSG00000112984	-1.0229
ENSG00000119655	1.1489
ENSG00000177000	1.3879
ENSG00000118523	2.9841
ENSG00000143479	1.6935
ENSG00000116954	1.4725
ENSG00000244242	6.1138
ENSG00000072422	-1.5743
ENSG00000164430	1.1249
ENSG00000143507	1.7787
ENSG00000164089	-2.4432
ENSG00000059728	1.7929
ENSG00000123240	1.0404
ENSG00000165030	1.5163
ENSG00000152518	1.1775
ENSG00000170345	5.0348
ENSG00000179862	1.2473
ENSG00000112511	1.0921
ENSG00000167772	1.9806
ENSG00000186951	1.0615
ENSG00000108551	4.927
ENSG00000185813	1.0196
ENSG00000162413	1.0772
ENSG00000167994	1.5979
ENSG00000197279	2.0793
ENSG00000070669	2.7897
ENSG00000108984	-1.0194
ENSG00000162783	1.1064
ENSG00000163347	1.5539
ENSG00000033327	1.0386
ENSG00000198369	1.1382
ENSG00000123975	1.0828
ENSG00000100889	1.043
ENSG00000198113	1.1207
ENSG00000011422	1.2494
ENSG00000165943	1.2216
ENSG00000164713	1.0735
